"id","year","month","casenumber","disease","item","datestart","dateend","districtcode","unit","value","annotation","sourceId"
"100","2017","9","TKH-2017-000392","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2017-07-10","2017-10-04","408","number","5",,"24"
"101","2017","9","TKH-2017-000348","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2017-08-02","2017-10-10","303","number","6",,"24"
"102","2018","9","TKH-2018-000177","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-07-03","2018-09-14","303","number","2",,"8"
"103","2019","9","TKH-2019-000224","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2019-07-01","2019-09-30","706","number","0",,"2"
"104","2018","6","TKH-2018-000061","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-04-08","2018-06-25","802","number","4",,"47"
"105","2015","1","TKH-2014-000421","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2014-08-17",NULL,"802","number","10",,"48"
"106","2015","2","TKH-2014-000421","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2014-08-17",NULL,"802","number","10",,"49"
"107","2015","3","TKH-2014-000421","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2014-08-17",NULL,"802","number","10",,"50"
"108","2015","4","TKH-2014-000421","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2014-08-17","2015-04-29","802","number","10",,"45"
"109","2015","10","TKH-2015-000913","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2015-08-18",NULL,"616","number","46",,"27"
"110","2015","11","TKH-2015-000913","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2015-08-18",NULL,"616","number","46",,"51"
"111","2015","12","TKH-2015-000913","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2015-08-18",NULL,"616","number","46",,"52"
"112","2016","1","TKH-2015-000913","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2015-08-18",NULL,"616","number","46",,"53"
"113","2016","2","TKH-2015-000913","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2015-08-18",NULL,"616","number","46",,"54"
"114","2016","3","TKH-2015-000913","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2015-08-18","2016-04-04","616","number","46",,"55"
"115","2016","4","TKH-2015-000913","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2015-08-18","2016-04-04","616","number","46",,"56"
"116","2016","6","TKH-2016-000259","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2016-06-03",NULL,"621","number","0",,"57"
"117","2016","7","TKH-2016-000259","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2016-06-03",NULL,"621","number","0",,"58"
"118","2016","8","TKH-2016-000259","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2016-06-03",NULL,"621","number","0",,"59"
"119","2016","9","TKH-2016-000259","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2016-06-03",NULL,"621","number","0",,"1"
"120","2016","9","TKH-2016-000451","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2016-04-29","2016-09-26","323","number","3",,"1"
"121","2018","4","TKH-2018-000075","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-04-23",NULL,"614","number","8",,"15"
"122","2018","5","TKH-2018-000075","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-04-23",NULL,"614","number","8",,"25"
"123","2018","6","TKH-2018-000075","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-04-23",NULL,"614","number","8",,"47"
"124","2018","7","TKH-2018-000075","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-04-23","2018-07-19","614","number","8",,"60"
"125","2019","8","TKH-2019-000085","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2019-04-19",NULL,"317","number","0",,"33"
"126","2019","9","TKH-2019-000085","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2019-04-19",NULL,"317","number","0",,"2"
"127","2019","10","TKH-2019-000085","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2019-04-19",NULL,"317","number","0",,"34"
"128","2019","11","TKH-2019-000085","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2019-04-19",NULL,"317","number","0",,"35"
"129","2020","1","TKH-2019-000085","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2019-04-19",NULL,"317","number","0",,"36"
"130","2020","2","TKH-2019-000085","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2019-04-19",NULL,"317","number","0",,"37"
"131","2020","3","TKH-2019-000085","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2019-04-19",NULL,"317","number","0",,"38"
"132","2018","7","TKH-2018-000271","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-07-25",NULL,"621","number","7",,"60"
"133","2018","8","TKH-2018-000271","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-07-25",NULL,"621","number","7",,"39"
"134","2018","9","TKH-2018-000271","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-07-25",NULL,"621","number","7",,"8"
"135","2018","9","TKH-2018-000271","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-07-25",NULL,"621","number","7",,"8"
"136","2019","9","TKH-2019-000223","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2019-07-01","2019-09-30","706","number","0",,"2"
"137","2016","6","TKH-2015-000887","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2015-08-05","2016-06-06","504","number","3",,"57"
"138","2018","9","TKH-2018-000126","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-06-18","2018-09-14","303","number","10",,"8"
"139","2017","7","TKH-2017-000371","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2017-05-15","2017-08-07","408","number","3",,"6"
"140","2017","8","TKH-2017-000371","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2017-05-15","2017-08-07","408","number","3",,"7"
"141","2019","9","TKH-2019-000245","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2019-07-05","2019-09-19","706","number","8",,"2"
"142","2015","6","TKH-2015-000721","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2015-04-15","2015-06-12","323","number","2",,"26"
"143","2015","5","TKH-2015-000722","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2015-05-12",NULL,"318","number","10",,"46"
"144","2015","6","TKH-2015-000722","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2015-05-12",NULL,"318","number","10",,"26"
"145","2015","7","TKH-2015-000722","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2015-05-12",NULL,"318","number","10",,"3"
