"id","year","month","casenumber","disease","animalspecies","datestart","dateend","country","nuts","districtcode","postcode","unit","value","annotation","sourceid"
"95","2015","9","TKH-2015-000933","American foulbrood of honey bees","1341976","2015-09-01","2016-06-02","AUT","AT12","325",NULL,"number","1",NULL,"57"
"96","2015","8","TKH-2015-000936","American foulbrood of honey bees","1341976","2015-08-27","2016-04-11","AUT","AT31","408",NULL,"number","1",NULL,"56"
"97","2015","9","TKH-2015-000945","American foulbrood of honey bees","1341976","2015-09-03","2016-06-16","AUT","AT33","703",NULL,"number","1",NULL,"61"
"98","2015","9","TKH-2015-000946","American foulbrood of honey bees","1341976","2015-09-03","2016-04-27","AUT","AT33","703",NULL,"number","1",NULL,"56"
"99","2015","9","TKH-2015-000947","American foulbrood of honey bees","1341976","2015-09-01","2016-06-13","AUT","AT22","611",NULL,"number","1",NULL,"61"
"100","2015","9","TKH-2015-000957","American foulbrood of honey bees","1341976","2015-09-09","2016-04-12","AUT","AT12","315",NULL,"number","1",NULL,"56"
"101","2015","9","TKH-2015-000958","American foulbrood of honey bees","1341976","2015-09-17","2016-06-27","AUT","AT33","703",NULL,"number","1",NULL,"61"
"102","2015","10","TKH-2015-000960","American foulbrood of honey bees","1341976","2015-10-06",NULL,"AUT","AT22","621",NULL,"number","1",NULL,"61"
"103","2015","9","TKH-2015-000961","American foulbrood of honey bees","1341976","2015-09-21","2016-09-26","AUT","AT12","323",NULL,"number","1",NULL,"59"
"104","2015","9","TKH-2015-000965","American foulbrood of honey bees","1341976","2015-09-21","2016-04-12","AUT","AT12","315",NULL,"number","1",NULL,"56"
"105","2015","9","TKH-2015-000967","American foulbrood of honey bees","1341976","2015-09-17","2016-07-21","AUT","AT32","504",NULL,"number","1",NULL,"61"
"106","2015","9","TKH-2015-000968","American foulbrood of honey bees","1341976","2015-09-18","2016-07-21","AUT","AT32","504",NULL,"number","1",NULL,"61"
"107","2015","9","TKH-2015-000969","American foulbrood of honey bees","1341976","2015-09-22",NULL,"AUT","AT32","504",NULL,"number","1",NULL,"61"
"108","2015","9","TKH-2015-000974","American foulbrood of honey bees","1341976","2015-09-30",NULL,"AUT","AT12","320",NULL,"number","1",NULL,"56"
"109","2015","9","TKH-2015-000981","American foulbrood of honey bees","1341976","2015-09-29","2016-04-11","AUT","AT12","320",NULL,"number","1",NULL,"56"
"110","2015","9","TKH-2015-000983","American foulbrood of honey bees","1341976","2015-09-29","2016-04-12","AUT","AT12","315",NULL,"number","1",NULL,"56"
"111","2015","9","TKH-2015-000984","American foulbrood of honey bees","1341976","2015-09-29","2016-04-12","AUT","AT12","315",NULL,"number","1",NULL,"56"
"112","2015","10","TKH-2015-000985","American foulbrood of honey bees","1341976","2015-10-05",NULL,"AUT","AT12","325",NULL,"number","1",NULL,"56"
"113","2015","9","TKH-2015-000986","American foulbrood of honey bees","1341976","2015-09-29","2016-06-13","AUT","AT22","611",NULL,"number","1",NULL,"61"
"114","2015","9","TKH-2015-000995","American foulbrood of honey bees","1341976","2015-09-30","2016-04-27","AUT","AT33","703",NULL,"number","1",NULL,"56"
"115","2016","2","TKH-2016-000091","American foulbrood of honey bees","1341976","2016-02-23","2016-09-26","AUT","AT12","323",NULL,"number","1",NULL,"59"
"116","2016","4","TKH-2016-000099","American foulbrood of honey bees","1341976","2016-04-12","2019-09-30","AUT","AT22","614",NULL,"number","1",NULL,"61"
"117","2016","4","TKH-2016-000114","American foulbrood of honey bees","1341976","2016-04-13","2016-05-09","AUT","AT21","208",NULL,"number","1",NULL,"61"
"118","2016","3","TKH-2016-000115","American foulbrood of honey bees","1341976","2016-03-31","2016-07-07","AUT","AT31","410",NULL,"number","1",NULL,"61"
"119","2016","4","TKH-2016-000120","American foulbrood of honey bees","1341976","2016-04-13","2016-06-27","AUT","AT33","709",NULL,"number","1",NULL,"61"
"120","2016","4","TKH-2016-000121","American foulbrood of honey bees","1341976","2016-04-13","2016-06-14","AUT","AT12","320",NULL,"number","1",NULL,"61"
"121","2016","4","TKH-2016-000122","American foulbrood of honey bees","1341976","2016-04-06","2016-08-18","AUT","AT12","315",NULL,"number","1",NULL,"61"
"122","2016","4","TKH-2016-000127","American foulbrood of honey bees","1341976","2016-04-21","2016-11-09","AUT","AT22","623",NULL,"number","1",NULL,"61"
"123","2016","4","TKH-2016-000129","American foulbrood of honey bees","1341976","2016-04-21",NULL,"AUT","AT32","504",NULL,"number","1",NULL,"61"
"124","2016","4","TKH-2016-000130","American foulbrood of honey bees","1341976","2016-04-21","2016-09-30","AUT","AT32","504",NULL,"number","1",NULL,"61"
"125","2016","4","TKH-2016-000132","American foulbrood of honey bees","1341976","2016-04-20","2016-06-27","AUT","AT33","703",NULL,"number","1",NULL,"61"
"126","2016","4","TKH-2016-000136","American foulbrood of honey bees","1341976","2016-04-28",NULL,"AUT","AT22","616",NULL,"number","1",NULL,"61"
"127","2016","5","TKH-2016-000137","American foulbrood of honey bees","1341976","2016-05-02","2016-09-20","AUT","AT22","617",NULL,"number","1",NULL,"61"
"128","2016","4","TKH-2016-000138","American foulbrood of honey bees","1341976","2016-04-21","2016-09-26","AUT","AT12","323",NULL,"number","1",NULL,"61"
"129","2016","5","TKH-2016-000139","American foulbrood of honey bees","1341976","2016-05-03","2016-05-13","AUT","AT21","208",NULL,"number","1",NULL,"61"
"130","2016","4","TKH-2016-000140","American foulbrood of honey bees","1341976","2016-04-30","2016-11-11","AUT","AT31","404",NULL,"number","1",NULL,"61"
"131","2016","5","TKH-2016-000141","American foulbrood of honey bees","1341976","2016-05-02","2016-09-26","AUT","AT32","504",NULL,"number","1",NULL,"61"
"132","2016","5","TKH-2016-000142","American foulbrood of honey bees","1341976","2016-05-02","2016-09-27","AUT","AT32","504",NULL,"number","1",NULL,"61"
"133","2016","5","TKH-2016-000143","American foulbrood of honey bees","1341976","2016-05-03","2017-05-19","AUT","AT22","620",NULL,"number","1",NULL,"61"
"134","2016","5","TKH-2016-000145","American foulbrood of honey bees","1341976","2016-05-18",NULL,"AUT","AT21","206",NULL,"number","1",NULL,"61"
"135","2016","5","TKH-2016-000146","American foulbrood of honey bees","1341976","2016-05-02","2019-01-14","AUT","AT31","410",NULL,"number","1",NULL,"61"
"136","2016","5","TKH-2016-000148","American foulbrood of honey bees","1341976","2016-05-01","2016-09-20","AUT","AT22","617",NULL,"number","1",NULL,"61"
"137","2016","5","TKH-2016-000149","American foulbrood of honey bees","1341976","2016-05-01","2016-09-20","AUT","AT22","617",NULL,"number","1",NULL,"61"
"138","2016","5","TKH-2016-000150","American foulbrood of honey bees","1341976","2016-05-09","2016-08-19","AUT","AT33","709",NULL,"number","1",NULL,"61"
"139","2016","5","TKH-2016-000151","American foulbrood of honey bees","1341976","2016-05-23","2016-07-29","AUT","AT22","601",NULL,"number","1",NULL,"61"
"140","2016","4","TKH-2016-000152","American foulbrood of honey bees","1341976","2016-04-20","2016-09-26","AUT","AT12","323",NULL,"number","1",NULL,"61"
"141","2016","5","TKH-2016-000153","American foulbrood of honey bees","1341976","2016-05-08","2016-09-27","AUT","AT32","504",NULL,"number","1",NULL,"61"
"142","2016","5","TKH-2016-000154","American foulbrood of honey bees","1341976","2016-05-11","2016-09-27","AUT","AT32","504",NULL,"number","1",NULL,"61"
"143","2016","5","TKH-2016-000155","American foulbrood of honey bees","1341976","2016-05-05","2016-08-23","AUT","AT22","621",NULL,"number","1",NULL,"61"
"144","2016","5","TKH-2016-000156","American foulbrood of honey bees","1341976","2016-05-27","2016-09-24","AUT","AT33","705",NULL,"number","1",NULL,"61"
"145","2016","5","TKH-2016-000159","American foulbrood of honey bees","1341976","2016-05-13","2016-09-06","AUT","AT31","413",NULL,"number","1",NULL,"61"
"146","2016","5","TKH-2016-000160","American foulbrood of honey bees","1341976","2016-05-24","2016-09-28","AUT","AT32","504",NULL,"number","1",NULL,"61"
"147","2016","5","TKH-2016-000161","American foulbrood of honey bees","1341976","2016-05-19","2016-09-26","AUT","AT32","504",NULL,"number","1",NULL,"61"
"148","2016","5","TKH-2016-000162","American foulbrood of honey bees","1341976","2016-05-19","2016-09-26","AUT","AT32","504",NULL,"number","1",NULL,"61"
"149","2016","5","TKH-2016-000163","American foulbrood of honey bees","1341976","2016-05-19","2016-09-26","AUT","AT32","504",NULL,"number","1",NULL,"61"
"150","2016","5","TKH-2016-000164","American foulbrood of honey bees","1341976","2016-05-25",NULL,"AUT","AT21","205",NULL,"number","1",NULL,"61"
"151","2016","5","TKH-2016-000165","American foulbrood of honey bees","1341976","2016-05-20",NULL,"AUT","AT22","612",NULL,"number","1",NULL,"61"
"152","2016","5","TKH-2016-000166","American foulbrood of honey bees","1341976","2016-05-25",NULL,"AUT","AT21","206",NULL,"number","1",NULL,"61"
"153","2016","5","TKH-2016-000167","American foulbrood of honey bees","1341976","2016-05-23",NULL,"AUT","AT22","612",NULL,"number","1",NULL,"61"
"154","2016","5","TKH-2016-000169","American foulbrood of honey bees","1341976","2016-05-22","2016-09-27","AUT","AT32","504",NULL,"number","1",NULL,"61"
"155","2016","5","TKH-2016-000170","American foulbrood of honey bees","1341976","2016-05-24","2016-06-24","AUT","AT12","306",NULL,"number","1",NULL,"61"
"156","2016","6","TKH-2016-000173","American foulbrood of honey bees","1341976","2016-06-06","2016-09-20","AUT","AT32","504",NULL,"number","1",NULL,"59"
"157","2016","5","TKH-2016-000176","American foulbrood of honey bees","1341976","2016-05-18","2016-09-26","AUT","AT32","504",NULL,"number","1",NULL,"61"
"158","2016","5","TKH-2016-000177","American foulbrood of honey bees","1341976","2016-05-22","2016-09-27","AUT","AT32","504",NULL,"number","1",NULL,"61"
"159","2016","5","TKH-2016-000178","American foulbrood of honey bees","1341976","2016-05-23","2017-07-06","AUT","AT32","504",NULL,"number","1",NULL,"61"
"160","2016","5","TKH-2016-000179","American foulbrood of honey bees","1341976","2016-05-23","2016-09-27","AUT","AT32","504",NULL,"number","1",NULL,"61"
"161","2016","5","TKH-2016-000180","American foulbrood of honey bees","1341976","2016-05-23","2016-10-05","AUT","AT32","504",NULL,"number","1",NULL,"61"
"162","2016","5","TKH-2016-000181","American foulbrood of honey bees","1341976","2016-05-23","2016-09-27","AUT","AT32","504",NULL,"number","1",NULL,"61"
"163","2016","5","TKH-2016-000188","American foulbrood of honey bees","1341976","2016-05-25","2016-09-11","AUT","AT32","504",NULL,"number","1",NULL,"61"
"164","2016","5","TKH-2016-000189","American foulbrood of honey bees","1341976","2016-05-30","2016-08-16","AUT","AT33","709",NULL,"number","1",NULL,"61"
"165","2016","6","TKH-2016-000190","American foulbrood of honey bees","1341976","2016-06-02","2016-09-19","AUT","AT22","606",NULL,"number","1",NULL,"59"
"166","2016","6","TKH-2016-000191","American foulbrood of honey bees","1341976","2016-06-02","2016-09-19","AUT","AT22","606",NULL,"number","1",NULL,"59"
"167","2016","5","TKH-2016-000193","American foulbrood of honey bees","1341976","2016-05-28",NULL,"AUT","AT32","504",NULL,"number","1",NULL,"61"
"168","2016","5","TKH-2016-000194","American foulbrood of honey bees","1341976","2016-05-31","2016-09-28","AUT","AT32","504",NULL,"number","1",NULL,"61"
"169","2016","5","TKH-2016-000195","American foulbrood of honey bees","1341976","2016-05-30","2016-08-31","AUT","AT22","614",NULL,"number","1",NULL,"61"
"170","2016","6","TKH-2016-000200","American foulbrood of honey bees","1341976","2016-06-02","2016-08-23","AUT","AT22","621",NULL,"number","1",NULL,"59"
"171","2016","5","TKH-2016-000201","American foulbrood of honey bees","1341976","2016-05-27","2017-03-30","AUT","AT22","616",NULL,"number","1",NULL,"61"
"172","2016","5","TKH-2016-000202","American foulbrood of honey bees","1341976","2016-05-27",NULL,"AUT","AT22","616",NULL,"number","1",NULL,"61"
"173","2016","6","TKH-2016-000204","American foulbrood of honey bees","1341976","2016-06-10","2016-09-24","AUT","AT33","705",NULL,"number","1",NULL,"59"
"174","2016","5","TKH-2016-000206","American foulbrood of honey bees","1341976","2016-05-31","2016-09-06","AUT","AT31","413",NULL,"number","1",NULL,"61"
"175","2016","5","TKH-2016-000207","American foulbrood of honey bees","1341976","2016-05-27","2017-05-19","AUT","AT22","620",NULL,"number","1",NULL,"61"
"176","2016","5","TKH-2016-000208","American foulbrood of honey bees","1341976","2016-05-27",NULL,"AUT","AT22","620",NULL,"number","1",NULL,"61"
"177","2016","7","TKH-2016-000210","American foulbrood of honey bees","1341976","2016-07-05","2016-09-15","AUT","AT33","705",NULL,"number","1",NULL,"59"
"178","2016","6","TKH-2016-000213","American foulbrood of honey bees","1341976","2016-06-03","2017-07-17","AUT","AT22","611",NULL,"number","1",NULL,"59"
"179","2016","6","TKH-2016-000215","American foulbrood of honey bees","1341976","2016-06-08","2017-08-03","AUT","AT12","306",NULL,"number","1",NULL,"59"
"180","2016","6","TKH-2016-000216","American foulbrood of honey bees","1341976","2016-06-13","2017-08-03","AUT","AT12","306",NULL,"number","1",NULL,"59"
"181","2016","6","TKH-2016-000221","American foulbrood of honey bees","1341976","2016-06-08","2016-09-06","AUT","AT31","413",NULL,"number","1",NULL,"59"
"182","2016","6","TKH-2016-000222","American foulbrood of honey bees","1341976","2016-06-09","2016-09-06","AUT","AT31","413",NULL,"number","1",NULL,"59"
"183","2016","6","TKH-2016-000229","American foulbrood of honey bees","1341976","2016-06-21","2018-07-30","AUT","AT22","620",NULL,"number","1",NULL,"60"
"184","2016","6","TKH-2016-000230","American foulbrood of honey bees","1341976","2016-06-16","2016-06-24","AUT","AT12","306",NULL,"number","1",NULL,"57"
